group,score
Group A,107.09
Group A,109.75
Group A,103.58
Group A,69.25
Group A,104.45
Group A,108.48
Group A,89.96
Group A,100.65
Group A,72.04
Group A,81.55
Group A,95.14
Group A,95.35
Group A,105.28
Group A,82.2
Group A,94.88
Group A,92.65
Group A,107.92
Group A,121.32
Group A,125.81
Group A,76.47
Group A,99.28
Group A,83.31
Group A,99.03
Group A,106.34
Group A,101.22
Group A,99.26
Group A,122.25
Group A,110.81
Group A,95.91
Group A,100.36
Group A,113.06
Group A,109.15
Group A,93.62
Group A,73.37
Group A,82.23
Group A,102.19
Group A,73.2
Group A,97.71
Group A,93.2
Group A,114.99
Group A,80.23
Group A,71.02
Group A,93.71
Group A,109.52
Group A,116.05
Group A,86.36
Group A,107.05
Group A,83.33
Group A,88.77
Group A,108.51
Group A,110.77
Group A,85.01
Group A,107.12
Group A,71.97
Group A,96.96
Group A,82.99
Group A,87.88
Group A,80.86
Group A,108.3
Group A,108.31
Group A,89.63
Group A,105.63
Group A,103.92
Group A,98.07
Group A,132.37
Group A,87.39
Group A,100.21
Group A,94.26
Group A,94.42
Group A,102.39
Group A,95.58
Group A,87.09
Group A,101.86
Group A,117.73
Group A,114.14
Group A,103.05
Group A,88.97
Group A,102.8
Group A,116.27
Group A,117.87
Group A,105.4
Group A,94.53
Group A,96.96
Group A,111.58
Group A,110.3
Group A,73.63
Group A,109.88
Group A,110.67
Group A,86.69
Group A,88.53
Group A,88.64
Group A,89.8
Group A,78.75
Group A,104.7
Group A,88.21
Group A,98.94
Group A,92.54
Group A,103.83
Group A,84.84
Group A,103.68
Group A,105.85
Group A,112.41
Group A,129.52
Group A,68.62
Group A,104.8
Group A,89.36
Group A,71.12
Group A,112.62
Group A,119.98
Group A,94.13
Group A,103.16
Group A,99.04
Group A,106.51
Group A,113.21
Group A,105.17
Group A,105.19
Group A,118.9
Group A,97.53
Group A,113.85
Group A,87.67
Group A,124.11
Group A,111.07
Group A,93.94
Group A,68.28
Group A,100.0
Group A,82.27
Group A,104.49
Group A,121.77
Group A,102.4
Group A,97.33
Group A,105.13
Group A,104.28
Group A,64.56
Group A,103.61
Group A,109.3
Group A,96.11
Group A,114.68
Group A,98.08
Group A,111.5
Group A,134.1
Group A,98.55
Group A,70.87
Group A,94.95
Group A,74.11
Group A,109.17
Group A,119.64
Group A,110.44
Group A,104.8
Group A,90.33
Group A,123.63
Group A,111.3
Group A,104.27
Group A,103.07
Group A,101.67
Group A,106.78
Group A,90.8
Group A,122.88
Group A,102.29
Group A,109.0
Group A,93.5
Group A,105.62
Group A,65.77
Group A,83.23
Group A,99.53
Group A,80.16
Group A,136.59
Group A,74.98
Group A,105.19
Group A,124.84
Group A,107.22
Group A,95.35
Group A,91.72
Group A,110.1
Group A,88.0
Group A,98.21
Group A,110.37
Group A,95.38
Group A,101.31
Group A,95.44
Group A,85.45
Group A,117.84
Group A,120.9
Group A,95.25
Group A,96.02
Group A,97.33
Group A,108.08
Group A,86.42
Group A,98.67
Group A,103.94
Group A,109.63
Group A,58.29
Group A,106.05
Group A,105.19
Group A,115.12
Group A,92.11
Group A,92.22
Group A,118.04
Group A,76.55
Group A,124.44
Group A,138.34
Group A,107.16
Group A,112.21
Group A,77.66
Group A,89.58
Group A,115.87
Group A,105.43
Group A,97.28
Group A,103.49
Group A,107.6
Group A,95.6
Group A,99.57
Group A,99.46
Group A,84.22
Group A,104.85
Group A,127.05
Group A,125.98
Group A,77.85
Group A,108.56
Group A,110.13
Group A,93.84
Group A,85.54
Group A,80.19
Group A,93.33
Group A,105.25
Group A,97.63
Group A,90.84
Group A,81.26
Group A,105.26
Group A,116.0
Group A,86.1
Group A,106.73
Group A,71.81
Group A,90.14
Group A,110.94
Group A,83.23
Group A,90.93
Group A,121.27
Group A,89.01
Group A,87.19
Group A,108.64
Group A,129.32
Group A,96.4
Group A,111.53
Group A,120.19
Group A,104.88
Group A,95.95
Group A,86.86
Group A,78.62
Group A,116.68
Group A,102.71
Group A,119.99
Group A,114.83
Group A,90.75
Group A,82.2
Group A,106.19
Group A,90.51
Group A,105.65
Group A,89.03
Group A,87.08
Group A,97.89
Group A,114.01
Group A,104.6
Group A,117.68
Group A,81.5
Group A,84.14
Group A,98.66
Group A,132.49
Group A,110.11
Group A,84.0
Group A,98.86
Group A,103.31
Group A,91.47
Group A,109.2
Group A,97.65
Group A,95.51
Group A,118.9
Group A,74.36
Group A,85.57
Group A,87.74
Group A,87.28
Group A,89.07
Group A,107.33
Group A,116.45
Group A,113.74
Group A,84.71
Group A,98.39
Group A,106.78
Group A,103.6
Group A,119.59
Group A,89.87
Group A,102.34
Group A,94.1
Group A,103.77
Group A,83.82
Group A,86.07
Group A,89.05
Group A,91.54
Group A,123.22
Group A,117.63
Group A,96.81
Group A,102.59
Group A,76.08
Group A,97.31
Group A,102.39
Group A,117.19
Group A,104.9
Group A,106.49
Group A,104.47
Group A,104.04
Group A,79.05
Group A,93.75
Group A,121.52
Group A,112.36
Group A,107.41
Group A,101.0
Group A,109.89
Group A,85.83
Group A,76.3
Group A,94.27
Group A,108.07
Group A,101.62
Group A,115.21
Group A,105.27
Group A,100.67
Group A,119.91
Group A,116.99
Group A,98.53
Group A,83.45
Group A,86.39
Group A,97.58
Group A,94.5
Group A,124.87
Group A,74.8
Group A,99.04
Group A,84.01
Group A,101.75
Group A,105.73
Group A,93.93
Group A,107.96
Group A,97.02
Group A,97.31
Group A,93.73
Group A,109.76
Group A,102.08
Group A,123.6
Group A,119.05
Group A,108.31
Group A,67.61
Group A,77.74
Group A,114.79
Group A,92.87
Group A,103.52
Group A,90.54
Group A,107.77
Group A,114.37
Group A,81.86
Group A,87.8
Group A,75.04
Group A,103.5
Group A,75.02
Group A,94.51
Group A,107.79
Group A,130.87
Group A,105.53
Group A,118.79
Group A,103.89
Group A,104.64
Group A,96.84
Group A,94.25
Group A,117.62
Group A,105.62
Group A,105.04
Group A,90.88
Group A,94.82
Group A,131.01
Group A,98.99
Group A,119.89
Group A,92.2
Group A,112.02
Group A,104.35
Group A,93.94
Group A,109.73
Group A,76.85
Group A,108.62
Group A,111.8
Group A,104.1
Group A,119.66
Group A,98.98
Group A,97.76
Group A,105.33
Group A,113.02
Group A,108.55
Group A,96.6
Group A,85.07
Group A,109.95
Group A,88.16
Group A,87.73
Group A,90.18
Group A,100.87
Group A,88.06
Group A,82.96
Group A,90.12
Group A,97.25
Group A,106.81
Group A,101.01
Group A,83.79
Group A,103.43
Group A,104.84
Group A,93.18
Group A,88.06
Group A,88.05
Group A,92.02
Group A,133.21
Group A,86.66
Group A,103.99
Group A,89.29
Group A,92.41
Group A,89.41
Group A,112.02
Group A,105.69
Group A,98.06
Group A,107.54
Group A,111.15
Group A,87.24
Group A,108.21
Group A,89.24
Group A,112.57
Group A,111.1
Group A,106.06
Group A,96.85
Group A,92.11
Group A,96.05
Group A,111.54
Group A,89.77
Group A,100.75
Group A,73.79
Group A,103.91
Group A,84.47
Group A,80.23
Group A,107.78
Group A,103.16
Group A,93.35
Group A,95.47
Group A,134.07
Group A,97.09
Group A,96.98
Group A,109.78
Group A,101.31
Group A,114.81
Group A,104.16
Group A,111.42
Group A,106.65
Group A,109.68
Group A,99.36
Group A,103.34
Group A,95.93
Group A,109.06
Group A,79.81
Group A,110.89
Group A,114.97
Group A,111.13
Group A,98.44
Group A,107.58
Group A,88.35
Group A,112.56
Group A,83.51
Group A,108.91
Group A,107.99
Group A,106.1
Group A,93.29
Group A,111.4
Group A,72.44
Group A,111.66
Group A,102.87
Group A,115.76
Group A,103.0
Group A,127.57
Group A,85.87
Group A,109.14
Group A,86.71
Group A,98.1
Group A,111.14
Group A,109.38
Group A,131.19
Group A,94.73
Group A,119.29
Group A,96.19
Group A,89.49
Group A,75.66
Group A,102.44
Group A,92.18
Group A,112.71
Group A,92.07
Group A,92.85
Group A,105.32
Group A,125.82
Group A,83.67
Group A,115.26
Group A,113.11
Group A,96.69
Group A,110.13
Group A,95.74
Group A,135.57
Group A,98.32
Group A,101.21
Group A,95.11
Group A,74.6
Group A,96.05
Group A,103.48
Group A,122.51
Group A,107.38
Group A,97.16
Group A,100.9
Group A,104.91
Group A,94.32
Group A,110.23
Group A,124.38
Group A,94.55
Group A,118.11
Group A,113.14
Group A,108.06
Group A,101.68
Group A,105.07
Group A,96.74
Group A,127.55
Group A,89.22
Group A,117.02
Group A,123.25
Group A,95.15
Group A,117.49
Group A,102.16
Group A,100.94
Group A,98.88
Group A,75.79
Group A,108.22
Group A,121.65
Group A,89.43
Group A,112.71
Group A,98.72
Group A,83.61
Group A,114.97
Group A,125.29
Group A,88.09
Group A,103.24
Group A,78.4
Group A,99.37
Group A,107.29
Group A,126.29
Group A,123.36
Group A,124.64
Group A,92.09
Group A,96.32
Group A,75.04
Group A,89.27
Group A,78.22
Group A,105.48
Group A,89.55
Group A,83.48
Group A,94.67
Group A,82.23
Group A,104.64
Group A,104.27
Group A,95.26
Group A,89.04
Group A,79.91
Group A,108.33
Group A,103.43
Group A,106.96
Group A,95.4
Group A,96.73
Group A,121.63
Group A,90.99
Group A,95.31
Group A,111.16
Group A,104.54
Group A,69.3
Group A,74.68
Group A,90.09
Group A,113.65
Group A,110.08
Group A,107.79
Group A,109.42
Group A,85.47
Group A,109.02
Group A,86.18
Group A,114.21
Group A,92.34
Group A,104.22
Group A,71.88
Group A,79.77
Group A,116.36
Group A,110.38
Group A,81.73
Group A,119.28
Group A,83.64
Group A,100.3
Group A,92.8
Group A,86.15
Group A,117.52
Group A,125.27
Group A,102.67
Group A,122.89
Group A,95.78
Group A,101.62
Group A,101.97
Group A,82.65
Group A,107.49
Group A,110.65
Group A,97.4
Group A,74.62
Group A,105.52
Group A,77.27
Group A,87.83
Group A,101.97
Group A,88.46
Group A,103.81
Group A,96.61
Group A,75.54
Group A,102.52
Group A,108.8
Group A,115.19
Group A,94.5
Group A,99.08
Group A,77.57
Group A,129.47
Group A,122.58
Group A,99.52
Group A,98.13
Group A,56.05
Group A,115.53
Group A,108.44
Group A,112.19
Group A,93.92
Group A,92.96
Group A,81.47
Group A,111.67
Group A,118.78
Group A,116.86
Group A,102.81
Group A,95.1
Group A,84.22
Group A,89.47
Group A,107.01
Group A,95.73
Group A,124.62
Group A,117.29
Group A,90.97
Group A,81.77
Group A,91.77
Group A,115.98
Group A,92.14
Group A,108.19
Group A,91.51
Group A,105.15
Group A,107.92
Group A,114.79
Group A,121.5
Group A,119.65
Group A,92.05
Group A,97.79
Group A,82.4
Group A,96.46
Group A,100.36
Group A,93.94
Group A,92.45
Group A,115.48
Group A,113.61
Group A,105.99
Group A,80.84
Group A,103.01
Group A,94.24
Group A,119.74
Group A,72.97
Group A,91.62
Group A,91.2
Group A,93.0
Group A,114.36
Group A,64.71
Group A,96.88
Group A,112.76
Group A,114.7
Group A,91.76
Group A,89.8
Group A,105.19
Group A,102.27
Group A,101.04
Group A,42.98
Group A,83.09
Group A,87.05
Group A,109.65
Group A,78.39
Group A,84.3
Group A,97.68
Group A,80.69
Group A,109.64
Group A,94.13
Group A,127.49
Group A,90.55
Group A,91.36
Group A,112.07
Group A,90.17
Group A,122.67
Group A,107.24
Group A,95.44
Group A,97.59
Group A,142.76
Group A,107.33
Group A,102.26
Group A,98.01
Group A,115.56
Group A,77.23
Group A,97.28
Group A,57.5
Group A,92.0
Group A,112.72
Group A,120.73
Group A,109.09
Group A,109.6
Group A,74.26
Group A,89.82
Group A,122.12
Group A,92.14
Group A,97.96
Group A,87.92
Group A,85.99
Group A,92.95
Group A,90.08
Group A,114.36
Group A,103.23
Group A,115.28
Group A,79.19
Group A,118.38
Group A,100.32
Group A,127.59
Group A,99.21
Group A,77.6
Group A,119.26
Group A,97.95
Group A,67.72
Group A,102.18
Group A,103.47
Group A,116.14
Group A,46.19
Group A,117.23
Group A,92.88
Group A,128.89
Group A,74.23
Group A,108.18
Group A,106.18
Group A,93.67
Group A,88.39
Group A,94.39
Group A,94.8
Group A,81.2
Group A,114.89
Group A,83.62
Group A,115.35
Group A,73.17
Group A,97.34
Group A,97.57
Group A,99.76
Group A,114.34
Group A,96.96
Group A,93.13
Group A,97.01
Group A,114.72
Group A,81.92
Group A,84.69
Group A,70.65
Group A,130.41
Group A,82.6
Group A,71.72
Group A,87.87
Group A,90.81
Group A,121.98
Group A,93.03
Group A,104.38
Group A,73.14
Group A,103.12
Group A,75.27
Group A,95.3
Group A,88.6
Group A,100.87
Group A,109.52
Group A,79.96
Group A,82.95
Group A,102.9
Group A,110.31
Group A,121.26
Group A,92.92
Group A,77.63
Group A,102.8
Group A,88.08
Group A,86.13
Group A,121.12
Group A,109.28
Group A,89.08
